,name,res_1,latitude,gis_edt_dt,point_y,locid,longitude,point_x,amwo_id,id,res_2,pmaid,geometry,closest_sidewalk_id,closest_sidewalk
0,Genesee Park & Playfield,,47.56394843,1899-11-30T00:00:00,209050.1970114,,-122.27607709,1284243.46098895,,6,,409,POINT (-122.2760770872289 47.56394842976354),10664,POINT (-122.276077281608 47.56400947034356)
1,Westcrest Park,,47.52578302,1899-11-30T00:00:00,195442.18407072,,-122.34171907,1267767.4664776,,4,,468,POINT (-122.3417190733906 47.52578301602443),7383,POINT (-122.3417447068848 47.52826281459744)
2,Golden Gardens Park,,47.69090201,1899-11-30T00:00:00,255950.24505508,,-122.40063705,1254440.21436919,,1,,243,POINT (-122.4006370483283 47.69090201183059),30333,POINT (-122.3997410831382 47.6905609506296)
3,Magnuson Park,,47.68270366,1899-11-30T00:00:00,252273.30373965,,-122.25709543,1289730.33485006,,3,,398,POINT (-122.257095428007 47.68270365527933),29023,POINT (-122.2615970619086 47.68276728872505)
4,Magnolia Manor Park,,47.65155243,1899-11-30T00:00:00,241556.51217768,,-122.39198162,1256280.78793891,,12,,747,POINT (-122.3919816191664 47.65155242961927),23408,POINT (-122.3915921942884 47.6508812426227)
5,Woodland Park,,47.6704244,1899-11-30T00:00:00,248204.70738386,,-122.34430859,1268163.63646197,,2,,292,POINT (-122.3443085892095 47.67042439804418),21952,POINT (-122.3433535956224 47.6711579176776)
6,I-90 Lid (Blue Dog Pond),,47.58888932,1899-11-30T00:00:00,218251.32021996,,-122.29863272,1278848.98482393,,5,,4418,POINT (-122.2986327182567 47.58888932031843),14988,POINT (-122.2990141738034 47.58889422455471)
7,Denny Park,,47.61937344,1899-11-30T00:00:00,229571.06077451,,-122.34108221,1268593.59102237,,13,,309,POINT (-122.3410822052591 47.61937343979243),35154,POINT (-122.3410814234517 47.61961732593489)
8,I-5 Colonnade,,47.63483056,1899-11-30T00:00:00,235125.00189968,,-122.32375826,1272974.46693045,,11,,4446,POINT (-122.3237582638526 47.6348305549937),10388,POINT (-122.3240182803941 47.63487876175193)
9,Kinnear Park,,47.62695728,1899-11-30T00:00:00,232466.3796892,,-122.3676603,1262095.22992831,,14,,314,POINT (-122.3676602952145 47.62695728211686),2406,POINT (-122.3677929472103 47.62661887583383)
10,Northacres Park,,47.72177511,1899-11-30T00:00:00,266844.75936922,,-122.32612425,1273006.39422648,,8,,361,POINT (-122.3261242456517 47.72177510721293),22970,POINT (-122.3261182896122 47.72305284011319)
11,Regrade Park,,47.61434575,1899-11-30T00:00:00,227755.35939682,,-122.34477644,1267646.66455749,,9,,336,POINT (-122.344776435673 47.61434575151851),20055,POINT (-122.3446834925044 47.61450293875878)
12,Dr. Jose Rizal Park,,47.59385909,1899-11-30T00:00:00,220155.82492574,,-122.31809394,1274082.42673948,,7,,433,POINT (-122.3180939376341 47.5938590938291),17561,POINT (-122.317389681446 47.5938388268241)
13,Plymouth Pillars Park,,47.61433762,1899-11-30T00:00:00,227676.13891675,,-122.3289508,1271549.21854512,,10,,4000,POINT (-122.3289508004928 47.61433762418319),36161,POINT (-122.3292803738149 47.61403534427086)
